filename, fileSize [kb], RoIs, capture [ms], resize [ms], faceDetect [ms], writeToDisk[ms], encryption [ms]
 test.jpg, 66324, 9, 521.054029465, 71.6099739075, 1852.61416435, 143.769979477, 643.77784729
50-image0001-640x480.jpg, 22439, 9, 72.2799301147, 36.386013031, 1786.90886497, 131.151914597, 49.1371154785
50-image0002-640x480.jpg, 21712, 8, 64.1400814056, 45.9439754486, 1765.57087898, 132.936000824, 112.816095352
50-image0003-640x480.jpg, 22627, 8, 66.4839744568, 36.808013916, 1662.95695305, 132.745981216, 118.483066559
50-image0004-640x480.jpg, 22644, 8, 55.8478832245, 37.3980998993, 1709.88607407, 132.483005524, 127.254962921
50-image0005-640x480.jpg, 22070, 8, 57.9228401184, 37.9910469055, 1667.70601273, 132.520914078, 120.454072952
50-image0006-640x480.jpg, 21397, 8, 55.811882019, 37.4670028687, 1651.84593201, 132.037162781, 120.105028152
50-image0007-640x480.jpg, 22179, 8, 56.01811409, 36.4961624146, 1711.77697182, 133.856058121, 119.234800339
50-image0008-640x480.jpg, 22090, 8, 56.2481880188, 37.3740196228, 1662.10603714, 132.295846939, 116.93406105
50-image0009-640x480.jpg, 21783, 8, 56.0128688812, 36.5948677063, 1685.90807915, 132.13300705, 119.762897491
50-image0010-640x480.jpg, 21377, 8, 57.363986969, 37.9221439362, 1749.47500229, 131.860017776, 121.057033539
50-image0011-640x480.jpg, 22261, 8, 56.1819076538, 39.0639305115, 2314.99910355, 132.599830627, 117.90394783
50-image0012-640x480.jpg, 22150, 8, 55.4718971252, 37.6608371735, 1705.19280434, 144.268989563, 118.536949158
50-image0013-640x480.jpg, 21411, 8, 56.0610294342, 36.8909835815, 1694.01407242, 131.969213486, 121.568918228
50-image0014-640x480.jpg, 21943, 8, 58.1429004669, 37.6160144806, 1680.20486832, 132.543087006, 113.847970963
50-image0015-640x480.jpg, 22488, 8, 56.9369792938, 39.0520095825, 1794.05593872, 133.700847626, 119.256973267
50-image0016-640x480.jpg, 22571, 8, 55.8729171753, 37.6868247986, 1925.51898956, 266.309022903, 121.005058289
