filename, fileSize [kb], RoIs, capture [ms], faceDetect [ms], convert[ms], encryption [ms], writeToDisk
 ../../testImages/100quality/100-image0001-640x480.jpg, 253051, 8, 431.511, 269.407, 150.408, 51.0764, 4.26378
../../testImages/100quality/100-image0002-640x480.jpg, 249148, 8, 58.439, 254.38, 139.402, 47.9685, 3.04584
../../testImages/100quality/100-image0003-640x480.jpg, 254369, 8, 51.8053, 213.083, 139.221, 49.6354, 3.25983
../../testImages/100quality/100-image0004-640x480.jpg, 249163, 8, 49.5504, 267.006, 177.762, 50.0454, 19.392
../../testImages/100quality/100-image0005-640x480.jpg, 250851, 8, 71.6663, 247.876, 139.518, 50.7544, 3.33383
../../testImages/100quality/100-image0006-640x480.jpg, 248186, 8, 39.429, 262.534, 139.138, 49.5324, 3.17384
../../testImages/100quality/100-image0007-640x480.jpg, 256912, 8, 40.2039, 208.274, 140.541, 51.7623, 3.34583
../../testImages/100quality/100-image0008-640x480.jpg, 253486, 8, 39.477, 208.137, 138.902, 51.5133, 3.62281
../../testImages/100quality/100-image0009-640x480.jpg, 252989, 9, 39.8729, 263.516, 140.672, 52.3203, 3.30583
../../testImages/100quality/100-image0010-640x480.jpg, 252854, 9, 40.2469, 260.353, 139.046, 52.8423, 3.65981
../../testImages/100quality/100-image0011-640x480.jpg, 258193, 8, 39.266, 245.017, 177.584, 52.3493, 3.25483
../../testImages/100quality/100-image0012-640x480.jpg, 270430, 8, 39.432, 210.276, 141.272, 54.8372, 3.9508
../../testImages/100quality/100-image0013-640x480.jpg, 256356, 9, 45.6556, 213.542, 139.149, 51.8343, 3.25283
../../testImages/100quality/100-image0014-640x480.jpg, 258791, 8, 39.384, 264.937, 170.622, 50.3564, 6.36767
../../testImages/100quality/100-image0015-640x480.jpg, 257734, 8, 39.346, 214.547, 139.379, 49.6184, 3.23783
../../testImages/100quality/100-image0016-640x480.jpg, 275540, 8, 40.1519, 266.695, 150.21, 53.9452, 175.232
../../testImages/100quality/100-image0017-640x480.jpg, 256512, 8, 75.7211, 267.467, 152.128, 48.6875, 3.23483
../../testImages/100quality/100-image0018-640x480.jpg, 251925, 8, 41.2549, 265.866, 176.244, 62.2398, 4.30178
../../testImages/100quality/100-image0019-640x480.jpg, 268379, 8, 39.286, 215.085, 140.862, 54.7162, 3.36782
../../testImages/100quality/100-image0020-640x480.jpg, 261500, 8, 44.8877, 212.609, 140.114, 50.9214, 3.7948
../../testImages/100quality/100-image0021-640x480.jpg, 260539, 8, 40.3429, 264.7, 139.696, 49.5044, 3.22883
../../testImages/100quality/100-image0022-640x480.jpg, 259188, 8, 83.8377, 225.781, 140.219, 51.7233, 3.21783
../../testImages/100quality/100-image0023-640x480.jpg, 272965, 8, 39.151, 237.762, 142.253, 54.8092, 3.49782
../../testImages/100quality/100-image0024-640x480.jpg, 265798, 8, 40.1709, 210.114, 140.592, 52.4793, 3.30783
../../testImages/100quality/100-image0025-640x480.jpg, 261984, 8, 47.0226, 209.855, 139.665, 52.5393, 3.20683
../../testImages/100quality/100-image0026-640x480.jpg, 258401, 8, 39.197, 258.781, 139.069, 49.9594, 3.59481
../../testImages/100quality/100-image0027-640x480.jpg, 265773, 8, 39.393, 243.059, 140.483, 52.5583, 170.051
../../testImages/100quality/100-image0028-640x480.jpg, 262442, 8, 70.2294, 264.084, 155.586, 52.4463, 3.30983
../../testImages/100quality/100-image0029-640x480.jpg, 262985, 8, 39.8799, 243.955, 139.927, 51.7053, 3.67481
../../testImages/100quality/100-image0030-640x480.jpg, 258713, 8, 38.964, 211.178, 139.201, 50.4724, 3.60981
../../testImages/100quality/100-image0031-640x480.jpg, 268704, 8, 39.14, 211.135, 140.357, 52.7433, 3.73481
../../testImages/100quality/100-image0032-640x480.jpg, 276492, 8, 39.115, 260.601, 141.243, 54.1652, 3.8628
../../testImages/100quality/100-image0033-640x480.jpg, 260771, 8, 39.9469, 257.578, 139.27, 60.6329, 3.25483
../../testImages/100quality/100-image0034-640x480.jpg, 264074, 8, 46.8706, 210.434, 139.867, 50.7834, 3.65081
../../testImages/100quality/100-image0035-640x480.jpg, 275124, 8, 39.27, 264.602, 156.843, 56.0641, 3.8588
../../testImages/100quality/100-image0036-640x480.jpg, 267987, 9, 39.165, 213.377, 140.095, 58.538, 3.25483
../../testImages/100quality/100-image0037-640x480.jpg, 260410, 8, 46.7496, 213.214, 138.994, 50.4524, 3.8958
../../testImages/100quality/100-image0038-640x480.jpg, 258030, 8, 39.047, 266.829, 153.043, 49.0875, 3.7928
../../testImages/100quality/100-image0039-640x480.jpg, 265564, 8, 39.251, 214.166, 184.55, 52.5193, 29.4075
../../testImages/100quality/100-image0040-640x480.jpg, 274459, 8, 70.2634, 224.668, 141.559, 53.9042, 3.56282
../../testImages/100quality/100-image0041-640x480.jpg, 259865, 8, 41.4659, 212.724, 139.216, 51.5973, 3.18184
../../testImages/100quality/100-image0042-640x480.jpg, 261746, 8, 38.991, 212.518, 139.212, 52.2253, 3.31383
../../testImages/100quality/100-image0043-640x480.jpg, 259442, 8, 39.314, 212.347, 139.02, 52.0593, 3.21183
../../testImages/100quality/100-image0044-640x480.jpg, 276765, 8, 38.934, 266.64, 149.114, 55.8241, 3.29983
../../testImages/100quality/100-image0045-640x480.jpg, 254909, 8, 39.7949, 219.285, 138.553, 51.8303, 178.605
../../testImages/100quality/100-image0046-640x480.jpg, 252956, 8, 61.0758, 267.048, 178.587, 57.803, 3.12884
../../testImages/100quality/100-image0047-640x480.jpg, 273028, 8, 41.6599, 266.564, 180.424, 57.448, 3.28183
../../testImages/100quality/100-image0048-640x480.jpg, 258004, 8, 40.2929, 215.126, 138.614, 49.0535, 3.31483
../../testImages/100quality/100-image0049-640x480.jpg, 253335, 8, 45.2717, 217.234, 138.165, 47.7075, 3.07584
../../testImages/100quality/100-image0050-640x480.jpg, 258854, 8, 41.6079, 245.417, 139.537, 51.4903, 3.24883
../../testImages/100quality/100-image0051-640x480.jpg, 271489, 9, 39.165, 248.575, 139.906, 111.875, 3.33083
../../testImages/100quality/100-image0052-640x480.jpg, 273231, 8, 39.167, 267.888, 148.557, 54.3382, 3.8868
../../testImages/100quality/100-image0053-640x480.jpg, 256083, 8, 39.8889, 213.97, 138.717, 51.0504, 3.49582
../../testImages/100quality/100-image0054-640x480.jpg, 256710, 8, 39.004, 213.57, 138.412, 49.9654, 3.55382
../../testImages/100quality/100-image0055-640x480.jpg, 264692, 8, 39.406, 267.647, 150.799, 51.8423, 6.24468
../../testImages/100quality/100-image0056-640x480.jpg, 260620, 8, 39.136, 216.314, 139.116, 49.4724, 3.19684
../../testImages/100quality/100-image0057-640x480.jpg, 261285, 8, 40.0099, 270.304, 175.891, 62.3338, 174.423
../../testImages/100quality/100-image0058-640x480.jpg, 261766, 8, 70.9993, 269.473, 179.336, 57.464, 3.18584
../../testImages/100quality/100-image0059-640x480.jpg, 258174, 8, 41.5949, 262.39, 139.103, 49.4354, 3.36883
../../testImages/100quality/100-image0060-640x480.jpg, 270941, 8, 40.6349, 216.587, 140.867, 52.9473, 3.34583
../../testImages/100quality/100-image0061-640x480.jpg, 257466, 8, 47.8275, 213.323, 139.057, 49.6404, 3.16584
../../testImages/100quality/100-image0062-640x480.jpg, 260461, 8, 39.7429, 267.246, 156.856, 50.6494, 3.21683
../../testImages/100quality/100-image0063-640x480.jpg, 270403, 8, 40.0989, 211.592, 140.235, 54.5872, 79.6379
../../testImages/100quality/100-image0064-640x480.jpg, 263942, 8, 69.8884, 256.505, 139.4, 49.6664, 3.34783
../../testImages/100quality/100-image0065-640x480.jpg, 260088, 8, 49.3645, 212.468, 139.199, 49.5724, 5.39772
../../testImages/100quality/100-image0066-640x480.jpg, 258441, 8, 40.4419, 213.537, 138.915, 48.4445, 3.24583
../../testImages/100quality/100-image0067-640x480.jpg, 263000, 8, 41.2459, 253.783, 139.143, 52.2993, 3.19684
